Action,Add/Keep/Hide,User Role,Trigger Context,Primary Object Created/Updated,Secondary Objects,Route To,Required Fields,Blocking Gates,FM Cannot Do,Launch Priority,Exists in Metadata?,Notes
2 PM Crew Health Check,ADD,Field Manager,WorkOrder record action (auto-prompted if configured),WorkOrder (Health_Check_*__c fields),Schedule_Issue__c if critical flag,FM review dashboard,Crew status + pct complete + material issues + scope remaining,None blocking — FM can always submit,Cannot skip if prompted,P1,PARTIAL — Health_Check_*__c fields exist on WO; no FM flow,"Fields: Health_Check_Status__c, Health_Check_Date__c, Health_Check_FM_Notes__c, Last_Health_Check_At__c"
Approve Closeout,ADD,Field Manager,WorkOrder record action,WorkOrder (Closeout_*__c fields set + Status → Closed),Invoice handoff / CS handoff,Invoicing / Customer Success,"All closeout fields complete, QI passed, FJs resolved",QI must pass + Finished Jobs resolved + required photos + scope confirmed,Cannot close without all gates,P2,PARTIAL — Closeout_*__c fields exist; approveCloseout() in React; no SF Lightning flow,"Fields: Closeout_Notes__c, Closeout_Photos_Attached__c, Closeout_Quantities_Confirmed__c, Closeout_Submitted_Date__c"
Log Arrival (Foreman),KEEP,Foreman,WorkOrder record action,WorkOrder (Arrived_At__c + Status=In Progress),N/A,N/A,WO ID + GPS coords + sod flag,N/A,N/A,KEEP,YES — LOVING_Foreman_Arrival quick action + flow,Already deployed and working
Pre-Shift Vehicle Check (Foreman),KEEP,Foreman,WorkOrder record action,Morning_Vehicle_Checklist__c,N/A,N/A,Checklist items + bilingual support,N/A,N/A,KEEP,YES — LOVING_Foreman_PreShift_VehicleCheck quick action + flow,Already deployed and working
Flag Issue (Foreman),KEEP,Foreman,WorkOrder record action,Schedule_Issue__c,N/A,FM review,Issue type + summary + severity,N/A,N/A,KEEP,YES — LOVING_Foreman_Flag quick action,Already deployed and working
Submit Closeout (Foreman),KEEP,Foreman,WorkOrder record action,WorkOrder → Pending Closeout + FJ_Recommended__c,N/A,FM queue,Closeout notes,N/A,Cannot submit without notes,KEEP,YES — LOVING_Foreman_Closeout quick action + flow,Already deployed and working
EOD Summary (Foreman),KEEP,Foreman,WorkOrder record action,Rippling_Time_Entry__c (minus 1 hr lunch),N/A,Payroll / Rippling,Hours + notes,N/A,N/A,KEEP,YES — LOVING_Foreman_EOD quick action + flow,Already deployed and working
New Lead,HIDE,N/A,odlConsoleHome + homeownerAccountCommandCenter LWCs,N/A,N/A,N/A,N/A,N/A,Always — FM must not create leads,HIDE,YES — exists in Sales LWCs visible in org,Remove from FM app page; hide via tab visibility on FM profile
New Opportunity,HIDE,N/A,odlConsoleHome + homeownerAccountCommandCenter + odlHomeDashboardWorkspace LWCs,N/A,N/A,N/A,N/A,N/A,Always — FM must not create opps,HIDE,YES — exists in Sales LWCs,Remove from FM app page; hide via tab visibility on FM profile
New Campaign,HIDE,N/A,Sales app,N/A,N/A,N/A,N/A,N/A,Always,HIDE,Standard Salesforce,Tab visibility only — remove Campaign tab from FM app
Edit Final Pricing / GP,HIDE,N/A,WorkOrder record,N/A,N/A,N/A,N/A,N/A,Always — FLS restriction required,HIDE,Standard field edit,Apply FLS: read-only on GP_Status__c + Gross_Profit__c + Revenue_Amount__c for FM profile
Create Invoice,HIDE,N/A,WorkOrder record,N/A,N/A,N/A,N/A,N/A,Always — closeout triggers invoice not FM,HIDE,Flow-triggered,Server-side gate only
Bill Parent Account,HIDE,N/A,React app API guard,N/A,N/A,N/A,N/A,N/A,Always — API contract confirmed,HIDE,Apex server-side check in React app,Already guarded in API; verify Apex enforces too
Delete Record,HIDE,N/A,Profile permission,N/A,N/A,N/A,N/A,N/A,Always,HIDE,Profile setting,Remove Delete perm on WorkOrder + Case for FM profile
Mass Update,HIDE,N/A,Profile / list view,N/A,N/A,N/A,N/A,N/A,Always,HIDE,Profile setting,Remove Modify All on key objects for FM profile
