File,Location,Action,Before,After
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 31,REWRITE,"Lawn Care work uses the standard WorkOrder and FSL path with live schedule, photo proof, and closeout notes.","Live schedule, photo proof, and closeout notes."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 32,REWRITE,"Hardscape work uses the standard WorkOrder and FSL path with live schedule, field proof, and closeout notes.","Live schedule, field proof, and closeout notes."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 33,REWRITE,"Loading verifies what LOVING loads onto the truck. Supplier-delivered material is verified at arrival, not on the loading checklist.","Verifies truck load. Supplier-delivered material verified at arrival only."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 34,REWRITE,"QI and Closeout control whether field work can move to invoice readiness. It requires photos, line completion, score, failed items, corrective action, and handoff status.","Required: photos, line completion, score, failed items, corrective action, handoff status."
force-app/main/default/flows/LOVING_2PM_Health_Check_Response.flow-meta.xml,Screen field Header_Text line 389,REWRITE,"Be honest. Your FM sees this. A flagged issue creates a Schedule Issue — not a problem for you. A hidden problem that becomes a crisis IS a problem for you.","Be honest. Your FM sees this. Flagged issues are normal workflow — hidden problems become crises."
force-app/main/default/flows/LOVING_Foreman_EOD_Summary.flow-meta.xml,Screen field EODSummaryText line 99,REWRITE,"Good work today! Add any notes for your FM below. / ¡Buen trabajo hoy! Agrega notas para tu FM a continuación.","Add any notes for your FM below. / Agrega notas para tu FM a continuación."
force-app/main/default/flows/LOVING_Delivery_QC_FM_Decision.flow-meta.xml,Screen field DisplayIssueType line 271,REWRITE,"Record your decision below. This will mark you as notified and allow the foreman to proceed or requeue the delivery.","Record your decision."
force-app/main/default/flows/ODL_Create_Lennar_Vouchers.flow-meta.xml,Screen field IntroText line 150,REMOVE,"This creator generates duplicate-safe Lennar standard grill vouchers in the format LENNAR-XXXXXXXX.",""
force-app/main/default/flows/Create_Builder_Account_Cascade.flow-meta.xml,Screen field C_HelpText line 702,REMOVE,"Parent Account will be auto-populated from the selected Division Account.",""
force-app/main/default/flows/Create_Builder_Account_Cascade.flow-meta.xml,Screen field DV_BackHelp line 787,REWRITE,"Parent Account not listed? Click Previous twice to go back and create the Parent Account first.","Need to create a Parent Account first? Go back twice."
force-app/main/default/tabs/LOVING_Foreman_Mobile_App.tab-meta.xml,label,REWRITE,Foreman Prototype,Foreman
force-app/main/default/applications/Field_Service_Console.app-meta.xml,tabs order,REORDER,standard-home first,Scheduling_Console first
force-app/main/default/applications/Field_Service_Console.app-meta.xml,Customer_Success_Console tab,REMOVE,present,removed
force-app/main/default/applications/Field_Service_Console.app-meta.xml,isNavPersonalizationDisabled,CHANGE,false,true
